0.000000,0.050000,0.000
0.000000,0.100000,0.000
0.250000,0.300000,0.000
0.500000,0.550000,0.000
0.500000,0.600000,0.000
0.750000,0.800000,0.000
1.000000,1.050000,0.000
1.000000,1.100000,0.000
1.250000,1.300000,0.000
1.500000,1.550000,0.000
1.500000,1.600000,0.000
1.750000,1.800000,0.000
2.000000,2.050000,0.000
2.000000,2.100000,0.000
2.250000,2.300000,0.000
2.500000,2.550000,0.000
2.500000,2.600000,0.000
2.750000,2.800000,0.000
3.000000,3.050000,0.000
3.000000,3.100000,0.000
3.250000,3.300000,0.000
3.500000,3.550000,0.000
3.500000,3.600000,0.000
3.750000,3.800000,0.000
4.000000,4.050000,0.000
4.000000,4.100000,0.000
4.250000,4.300000,0.000
4.500000,4.550000,0.000
4.500000,4.600000,0.000
4.750000,4.800000,0.000
